City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,togitsu,32.8333,129.85,19.99,77,75,2.06,JP,1684715052
293,antofagasta,-23.65,-70.4,16.94,83,37,2.22,CL,1684714398
294,vrangel',42.7297,133.0839,12.29,71,6,3.5,RU,1684715052
295,gisborne,-38.6533,178.0042,17.93,59,80,3.73,NZ,1684715052
296,nemuro,43.3236,145.575,9.38,87,47,3.24,JP,1684715052
297,kisangani,0.5167,25.2,21.59,98,68,1.01,CD,1684715053
298,el granada,37.5027,-122.4694,28.84,78,100,9.26,US,1684714841
299,jindabyne,-36.4167,148.6333,10.73,37,1,1.06,AU,1684715053
300,thisted,56.9552,8.6949,13.41,81,13,3.38,DK,1684715053
301,kloulklubed,7.0419,134.2556,28.78,74,85,3.26,PW,1684715053
302,turkestan,43.3333,68.25,18.82,38,14,3.2,KZ,1684715053
303,zurrieq,35.8311,14.4742,16.65,100,20,2.57,MT,1684715054
304,la ronge,55.1001,-105.2842,13.14,44,100,4.12,CA,1684714842
305,konarka,19.9,86.1167,26.22,87,16,8.49,IN,1684715054
306,madalena,41.2162,-8.3345,18.59,58,73,1.99,PT,1684715054
307,igarka,67.4667,86.5833,1.64,96,100,3.81,RU,1684715055
308,weno,7.4515,151.8468,29.97,84,100,4.12,FM,1684715055
309,geraldton,-28.7667,114.6,15.23,44,7,9.26,AU,1684715055
310,kralendijk,12.15,-68.2667,26.99,89,20,5.66,BQ,1684715055
311,shima,24.4478,117.8111,29.01,86,91,1.48,CN,1684715055
312,howrah,22.5892,88.3103,27.0,78,40,3.6,IN,1684715056
313,sierra grande,-41.606,-65.3557,13.81,37,91,4.74,AR,1684715056
314,chibougamau,49.9168,-74.3659,1.79,48,75,2.57,CA,1684714844
315,umm ruwaba,12.9061,31.2158,27.4,8,2,4.54,SD,1684715056
316,sinabang,2.4803,96.3801,27.15,79,98,2.05,ID,1684715056
317,prachatice,49.0129,13.9975,15.15,92,24,1.44,CZ,1684715056
318,port douglas,-16.4833,145.4667,24.05,57,54,8.06,AU,1684714844
319,qamdo,31.1667,97.2333,3.44,58,13,0.78,CN,1684714845
320,sanctuary point,-35.1114,150.629,16.66,48,0,1.32,AU,1684715057
321,vung tau,10.346,107.0843,28.46,75,96,2.3,VN,1684715057
322,ulan bator,47.9077,106.8832,5.07,70,0,1.0,MN,1684714794
323,kohima,25.6667,94.1167,17.52,82,99,1.08,IN,1684715057
324,saarijarvi,62.7049,25.254,8.09,72,100,1.52,FI,1684715058
325,norrtalje,59.758,18.705,9.1,66,63,1.63,SE,1684714846
326,arraial do cabo,-22.9661,-42.0278,22.83,79,67,9.51,BR,1684715041
327,coquimbo,-29.9533,-71.3436,14.85,82,100,2.06,CL,1684714905
328,luumaki,60.9262,27.5814,11.03,70,83,1.7,FI,1684715058
329,les anglais,18.3054,-74.2197,26.22,82,12,1.47,HT,1684715058
330,tual,-5.6667,132.75,27.19,82,100,10.2,ID,1684714847
331,baiao,-2.7906,-49.6717,23.64,99,94,1.1,BR,1684715059
332,puryong,42.0606,129.7117,18.76,38,1,5.75,KP,1684715059
333,mirnyy,62.5353,113.9611,4.02,32,8,0.89,RU,1684715059
334,newman,37.3138,-121.0208,34.19,33,4,2.68,US,1684715059
335,winnemucca,40.973,-117.7357,25.03,25,20,7.72,US,1684715060
336,gwanda,-20.9333,29.0,15.95,56,46,0.51,ZW,1684715060
337,kupang,-10.1667,123.5833,27.32,74,20,5.14,ID,1684715060
338,salekhard,66.53,66.6019,4.07,81,48,2.65,RU,1684715060
339,zaozersk,69.4005,32.4476,8.74,83,86,3.93,RU,1684715060
340,puerto deseado,-47.7503,-65.8938,7.14,82,17,12.46,AR,1684714890
341,chala,-7.5833,31.2667,13.59,66,23,1.67,TZ,1684715061
342,forster,-32.1667,152.5167,16.88,54,2,3.6,AU,1684714849
343,hillsborough,37.5741,-122.3794,29.41,77,75,9.26,US,1684714856
344,sorong,-0.8833,131.25,27.04,80,61,3.86,ID,1684715061
345,ketchikan,55.3422,-131.6461,13.26,67,75,4.63,US,1684715062
346,hobyo,5.3505,48.5268,27.78,81,29,6.98,SO,1684715062
347,kijang,35.2442,129.2139,19.85,63,100,2.35,KR,1684714850
348,schweizer-reneke,-27.1887,25.3293,8.93,31,4,2.59,ZA,1684714850
349,axim,4.8699,-2.2405,26.19,84,97,0.87,GH,1684714850
350,soio,-6.1349,12.3689,24.21,87,31,2.38,AO,1684714851
351,vorgashor,67.5833,63.95,2.33,97,73,2.96,RU,1684714851
352,hondo,32.45,130.2,19.21,76,69,1.15,JP,1684715063
353,choyr,46.3611,108.3611,8.14,50,2,2.5,MN,1684714851
354,khenifra,32.9333,-5.6667,9.98,80,61,1.27,MA,1684715063
355,acarau,-2.8856,-40.12,26.14,85,78,4.6,BR,1684715014
356,port augusta,-32.5,137.7667,15.38,60,0,2.13,AU,1684715063
357,laguna,38.421,-121.4238,33.52,37,0,2.57,US,1684715064
358,prineville,44.2999,-120.8345,22.39,43,75,6.69,US,1684715064
359,mont-laurier,46.5501,-75.4993,12.79,48,1,3.09,CA,1684715064
360,macau,22.2006,113.5461,30.48,84,20,2.57,MO,1684715064
361,port macquarie,-31.4333,152.9167,17.72,52,12,4.23,AU,1684714908
362,luang prabang,19.8856,102.1347,26.99,73,6,0.49,LA,1684715065
